PassengerId,Survived
892,0.10948705
893,0.48039588
894,0.10252747
895,0.13494936
896,0.72447515
897,0.29907244
898,0.40893114
899,0.17321284
900,0.9161007
901,0.14849505
902,0.13494936
903,0.1984387
904,0.9321054
905,0.06249029
906,1.2027304
907,0.83745205
908,0.15012029
909,0.16651051
910,0.40830556
911,0.6312717
912,0.10646199
913,0.3869945
914,1.0505288
915,0.3841932
916,0.91695845
917,0.0702604
918,0.8882325
919,0.15696509
920,0.25597805
921,0.094296545
922,0.09818943
923,0.16934021
924,0.5926994
925,0.71583164
926,0.35474125
927,0.2743799
928,0.50900066
929,0.4978904
930,0.14378928
931,0.13494936
932,0.089315526
933,0.5284339
934,0.09328568
935,0.9927205
936,1.1638113
937,0.17491506
938,0.23706514
939,0.13494936
940,1.5054336
941,0.7071667
942,0.40805024
943,0.18323588
944,0.46654797
945,0.56342804
946,0.21916306
947,0.11861873
948,0.10808664
949,0.48453647
950,0.13545848
951,0.8058782
952,0.20253487
953,0.19278324
954,0.23217821
955,0.5634106
956,0.28665197
957,1.0095801
958,0.61658216
959,0.19462706
960,0.49630904
961,0.6955879
962,0.5405445
963,0.16651051
964,0.48937884
965,0.5908683
966,0.9062331
967,0.35122606
968,0.13494936
969,1.0164777
970,0.20265956
971,0.46453786
972,0.34258103
973,0.14163679
974,0.1872861
975,0.13494936
976,0.21916306
977,0.10972846
978,0.43530455
979,0.61658216
980,0.43530455
981,0.5897786
982,0.7998167
983,0.13494936
984,0.89840615
985,0.13494936
986,0.26520106
987,0.17491506
988,1.0817821
989,0.15464145
990,0.6652598
991,0.13830623
992,1.1050524
993,0.14701705
994,0.13494936
995,0.20657007
996,0.73068905
997,0.15926428
998,0.16651051
999,0.13494936
1000,0.20025456
1001,0.591953
1002,0.15646946
1003,0.50900066
1004,0.80482066
1005,0.53076994
1006,1.0874757
1007,0.15761603
1008,0.13494936
1009,0.46614167
1010,0.3285348
1011,0.8619907
1012,0.8116298
1013,0.10972846
1014,1.0544881
1015,0.15926428
1016,0.13494936
1017,0.6110493
1018,0.19447014
1019,0.28195742
1020,0.12831382
1021,0.14872414
1022,0.14210755
1023,0.9252846
1024,0.63223076
1025,0.13545848
1026,0.08904601
1027,0.18089533
1028,0.13704748
1029,0.1882922
1030,0.4751029
1031,0.07197407
1032,0.2591225
1033,0.6622686
1034,0.11633298
1035,0.21340905
1036,0.35301733
1037,0.091127366
1038,0.6022759
1039,0.1599822
1040,0.29645216
1041,0.44214737
1042,1.0621917
1043,0.13494936
1044,0.061562337
1045,0.7071667
1046,0.11073407
1047,0.14872414
1048,0.93548524
1049,0.5517565
1050,0.40883622
1051,0.7451046
1052,0.43530455
1053,0.35212883
1054,0.5727419
1055,0.13494936
1056,0.5711616
1057,0.6239861
1058,0.22350512
1059,0.15887538
1060,1.0844308
1061,0.5634106
1062,0.13494936
1063,0.13494936
1064,0.15622091
1065,0.13494936
1066,0.09967264
1067,0.7569875
1068,0.6376609
1069,0.25700364
1070,0.9914418
1071,1.4022782
1072,0.20265956
1073,0.44922
1074,0.8992232
1075,0.13494936
1076,0.91811115
1077,0.15996361
1078,0.7413336
1079,0.14413017
1080,0.11723851
1081,0.1340295
1082,0.14578475
1083,0.29645216
1084,0.26373383
1085,0.08764986
1086,0.4782917
1087,0.16858318
1088,0.71151173
1089,0.61658216
1090,0.24549346
1091,0.80521595
1092,0.43530455
1093,0.8904855
1094,0.80158734
1095,0.73944426
1096,0.23157725
1097,0.29645216
1098,0.36985046
1099,0.28550893
1100,0.8292034
1101,0.14378928
1102,0.14210755
1103,0.13494936
1104,0.3035596
1105,0.6006709
1106,0.19849502
1107,0.24977116
1108,0.50900066
1109,0.10990643
1110,1.0640248
1111,0.16415624
1112,0.5663724
1113,0.20230234
1114,1.0343081
1115,0.20230234
1116,1.0323908
1117,0.80904716
1118,0.18737891
1119,0.43530455
1120,0.11431615
1121,0.21003498
1122,0.35173106
1123,0.7781916
1124,0.16899718
1125,0.13494936
1126,0.29035923
1127,0.21104532
1128,0.21435535
1129,0.17382182
1130,0.5095169
1131,1.1432912
1132,1.0123947
1133,0.600154
1134,0.32218027
1135,0.13494936
1136,0.10542056
1137,0.32974732
1138,0.9938205
1139,0.10835444
1140,0.8291935
1141,0.7232616
1142,0.94726336
1143,0.25639367
1144,0.38031515
1145,0.18089533
1146,0.115399264
1147,0.16415624
1148,0.13494936
1149,0.13094509
1150,0.7246523
1151,0.20230234
1152,0.12417603
1153,0.20230234
1154,0.97067726
1155,0.89069545
1156,0.24311131
1157,0.13494936
1158,0.34837592
1159,0.16415624
1160,0.50900066
1161,0.20253487
1162,0.32354262
1163,0.13494936
1164,0.95873845
1165,0.34368727
1166,0.16415624
1167,0.7043773
1168,0.21340905
1169,0.1031866
1170,0.16321681
1171,0.25317204
1172,0.4751029
1173,0.6596456
1174,0.43530455
1175,0.6668558
1176,0.8767253
1177,0.10537131
1178,0.20025456
1179,0.35113057
1180,0.38739723
1181,0.13494936
1182,0.34837592
1183,0.5582714
1184,0.13494936
1185,0.45998657
1186,0.10537131
1187,0.13921613
1188,0.92925906
1189,0.094296545
1190,0.2767252
1191,0.12716897
1192,0.14210755
1193,0.35174438
1194,0.13628861
1195,0.14872414
1196,0.50900066
1197,0.9749982
1198,0.36006823
1199,0.78139216
1200,0.15797594
1201,0.6635053
1202,0.23217821
1203,0.1599822
1204,0.13494936
1205,0.35566875
1206,1.3507844
1207,0.55400115
1208,0.17022485
1209,0.28033122
1210,0.16415624
1211,0.18169813
1212,0.16935657
1213,0.40958163
1214,0.49406207
1215,0.25896752
1216,0.60612446
1217,0.15409176
1218,0.75424206
1219,0.2763825
1220,0.16806114
1221,0.21890375
1222,0.992501
1223,0.26620832
1224,0.13494936
1225,0.7489968
1226,0.13494936
1227,0.43314093
1228,0.23124345
1229,0.08350972
1230,0.19363475
1231,0.08975749
1232,0.29128438
1233,0.14210755
1234,0.24011444
1235,1.3051019
1236,0.111209475
1237,0.6494857
1238,0.22520688
1239,0.7907533
1240,0.1993058
1241,0.5246731
1242,1.291246
1243,0.23157725
1244,0.24451452
1245,0.07096324
1246,1.007469
1247,0.4222163
1248,1.0094826
1249,0.13494936
1250,0.13494936
1251,0.76201093
1252,0.046805244
1253,0.76438195
1254,1.0254049
1255,0.13494936
1256,0.9516101
1257,0.7599067
1258,0.10972846
1259,0.64195377
1260,1.0249689
1261,0.2494101
1262,0.17869495
1263,1.070871
1264,0.259521
1265,0.14664288
1266,0.7597773
1267,0.6346679
1268,0.32346252
1269,0.26145118
1270,0.27675614
1271,0.18221453
1272,0.13494936
1273,0.13921613
1274,0.7219751
1275,0.72121966
1276,0.21916306
1277,0.42406285
1278,0.2205027
1279,0.094637856
1280,0.16651051
1281,0.21878295
1282,0.43185395
1283,1.3530074
1284,0.26850522
1285,0.115486346
1286,0.07399102
1287,0.8960961
1288,0.14872414
1289,0.9891222
1290,0.19447014
1291,0.14608559
1292,0.93208885
1293,0.10849209
1294,0.8042254
1295,0.38666248
1296,0.31679657
1297,0.6321719
1298,0.20239086
1299,0.20698915
1300,0.50900066
1301,0.8273711
1302,0.43530455
1303,1.0548445
1304,0.4990638
1305,0.13494936
1306,1.4755614
1307,0.1200355
1308,0.13494934
1309,0.08925012
